,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,rain_sum
0,2020-01-01,33.9,23.1,0.0,18.3,0.0
1,2020-01-02,33.8,22.9,0.0,16.0,0.0
2,2020-01-03,33.6,23.1,0.0,14.1,0.0
3,2020-01-04,33.5,23.5,0.0,12.7,0.0
4,2020-01-05,33.0,22.8,0.0,14.7,0.0
5,2020-01-06,34.0,22.0,0.0,15.2,0.0
6,2020-01-07,34.3,24.2,0.3,14.5,0.3
7,2020-01-08,35.5,25.2,0.0,12.9,0.0
8,2020-01-09,34.9,24.5,0.2,15.0,0.2
9,2020-01-10,34.2,24.6,0.0,16.0,0.0
10,2020-01-11,32.5,24.2,0.1,16.0,0.1
11,2020-01-12,31.5,24.8,0.9,17.6,0.9
12,2020-01-13,33.0,22.2,0.0,17.3,0.0
13,2020-01-14,33.4,22.3,0.0,21.5,0.0
14,2020-01-15,33.2,21.6,0.0,17.1,0.0
15,2020-01-16,34.0,22.2,0.0,15.9,0.0
16,2020-01-17,33.8,23.5,0.0,19.4,0.0
17,2020-01-18,32.3,23.7,0.1,17.1,0.1
18,2020-01-19,33.8,23.1,0.0,16.8,0.0
19,2020-01-20,34.6,23.4,0.0,19.1,0.0
20,2020-01-21,35.1,24.1,0.0,19.2,0.0
21,2020-01-22,35.0,23.6,0.0,20.4,0.0
22,2020-01-23,34.8,24.2,0.0,20.0,0.0
23,2020-01-24,35.6,22.9,0.0,24.0,0.0
24,2020-01-25,33.0,23.8,0.0,19.7,0.0
25,2020-01-26,34.0,23.0,0.0,21.0,0.0
26,2020-01-27,32.8,23.5,0.4,21.9,0.4
27,2020-01-28,33.6,22.7,0.0,23.1,0.0
28,2020-01-29,32.8,22.0,0.0,21.1,0.0
29,2020-01-30,31.9,23.4,0.4,16.1,0.4
30,2020-01-31,31.6,23.5,0.4,16.8,0.4
31,2020-02-01,33.2,22.7,0.0,21.7,0.0
32,2020-02-02,32.5,21.4,0.0,18.5,0.0
