name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Ho Chi Minh,2026-06-24T00:00:00,84.1,90.7,73.3,70.1,0,0,,0,0,9.6,4.7,220,1007,98.9,6.2,0,0,0,30,Overcast,cloudy,VVTS
Ho Chi Minh,2026-06-24T01:00:00,82.3,89.3,75.1,78.91,0,0,,0,0,11.2,4.7,250,1007,100,6.2,0,0,0,30,Overcast,cloudy,VVTS
Ho Chi Minh,2026-06-24T02:00:00,82.3,92.1,78.7,88.91,0,0,,0,0,11.4,5.8,240,1007,25,6.2,0,0,0,30,Partially cloudy,partly-cloudy-night,VVTS
Ho Chi Minh,2026-06-24T03:00:00,82.3,92.1,78.7,88.91,0,0,,0,0,11.9,5.8,250,1007,100,6.2,0,0,0,30,Overcast,cloudy,VVTS
Ho Chi Minh,2026-06-24T04:00:00,82.3,93.8,80.5,94.31,0,0,,0,0,9.8,4.7,220,1007,100,6.2,0,0,0,30,Overcast,cloudy,VVTS
Ho Chi Minh,2026-06-24T05:00:00,82.3,93.8,80.5,94.31,0,0,,0,0,6.5,4.7,220,1007,25,6.2,0,0,0,30,Partially cloudy,partly-cloudy-night,VVTS
Ho Chi Minh,2026-06-24T06:00:00,82.3,93.8,80.5,94.31,0,0,,0,0,8.3,3.4,220,1008,25,6.2,6,0,0,30,Partially cloudy,partly-cloudy-day,VVTS
Ho Chi Minh,2026-06-24T07:00:00,84.1,98,80.5,88.99,0,0,,0,0,11.9,6.9,230,1008,25,6.2,96,0.3,1,30,Partially cloudy,partly-cloudy-day,VVTS
Ho Chi Minh,2026-06-24T08:00:00,85.9,101.6,80.5,84,0,0,,0,0,10.5,8.1,250,1009,97.9,6.2,283,1,3,30,Overcast,cloudy,VVTS
Ho Chi Minh,2026-06-24T09:00:00,85.9,101.6,80.5,84,0,0,,0,0,8.7,11.4,230,1009,25,6.2,525,1.9,5,60,Partially cloudy,partly-cloudy-day,VVTS
Ho Chi Minh,2026-06-24T10:00:00,89.5,107.8,80.5,74.94,0,0,,0,0,8.5,8.1,270,1008,25,6.2,712,2.6,7,60,Partially cloudy,partly-cloudy-day,VVTS
Ho Chi Minh,2026-06-24T11:00:00,91.3,104.8,76.9,62.92,0.012,100,rain,0,0,8.7,11.4,260,1008,88,6.2,780,2.8,8,60,"Rain, Partially cloudy",rain,VVTS
Ho Chi Minh,2026-06-24T12:00:00,96.2,104.5,71.5,45.17,0.008,0,rain,0,0,8.9,6,267.5,1006,94.9,15,801,2.9,8,30,Overcast,cloudy,
